network,time,latitude,longitude,depth,magnitude,azimuthal_gap,event_description,associated_phase_count,event_id,horizontal_uncertainty,local_magnitude,moment_magnitude,duration_magnitude,magnitude_type,p_phase_count,s_phase_count,p_pick_count,s_pick_count,standard_error,used_phase_count,station_count,vertical_uncertainty,updated,author,agency_id,creation_time,version,path
GCI,2024-05-21 02:30:45.342,58.6726,-145.5781,31737.0,4.0,,GULF OF ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11843862,,4.0,,,ml,3522.0,12288.0,3522.0,12288.0,,15810.0,2.0,,2026-04-17 09:14:49.236475648,,,,,2024/05/21/query?eventid=11843862.xml
GCI,2024-08-25 20:29:39.964,59.6728,-153.5477,126100.0,2.0,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11877651,,2.0,,,ml,5734.0,10652.0,5734.0,10652.0,,16386.0,2.0,,2026-04-17 09:14:51.836477184,,,,,2024/08/25/query?eventid=11877651.xml
GCI,2024-08-22 02:40:21.439,61.2532,-147.0345,18900.0,3.8,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11876657,,3.8,,,ml,4128.0,10971.0,4128.0,10971.0,,15099.0,2.0,,2026-04-17 09:14:54.964479232,,,,,2024/08/22/query?eventid=11876657.xml
GCI,2024-06-12 02:40:37.149,58.5423,-152.7121,51300.0,2.6,,"KODIAK ISLAND REGION, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11851782,,2.6,,,ml,5270.0,10072.0,5270.0,10072.0,,15342.0,2.0,,2026-04-17 09:14:56.001479936,,,,,2024/06/12/query?eventid=11851782.xml
GCI,2024-04-25 08:16:56.199,58.4534,-152.7414,45300.0,2.6,,"KODIAK ISLAND REGION, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11832770,,2.6,,,ml,6149.0,9342.0,6149.0,9342.0,,15491.0,2.0,,2026-04-17 09:14:57.061480448,,,,,2024/04/25/query?eventid=11832770.xml
GCI,2024-07-13 06:19:47.363,59.8176,-152.4198,64400.00000000001,2.8,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11862192,,2.4,,,ML,4648.0,12121.0,4648.0,12121.0,,16769.0,2.0,,2026-04-17 09:14:58.683481344,,,,,2024/07/13/query?eventid=11862192.xml
GCI,2024-09-29 07:20:55.313,59.5331,-154.904,10200.0,3.0,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11889355,,3.1,,,ML,4947.0,11455.0,4947.0,11455.0,,16402.0,2.0,,2026-04-17 09:14:59.275481600,,,,,2024/09/29/query?eventid=11889355.xml
GCI,2024-07-28 14:39:50.387,60.2846,-152.7435,101000.0,2.8,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11867881,,2.8,,,ML,6387.0,10264.0,6387.0,10264.0,,16651.0,2.0,,2026-04-17 09:15:03.087484160,,,,,2024/07/28/query?eventid=11867881.xml
GCI,2024-05-18 00:30:32.464,59.8587,-152.2588,78800.0,2.0,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11842537,,2.0,,,ml,4506.0,11057.0,4506.0,11057.0,,15563.0,2.0,,2026-04-17 09:15:03.596484352,,,,,2024/05/18/query?eventid=11842537.xml
GCI,2024-10-13 01:32:27.842,60.0247,-153.3349,147800.0,2.4,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11893546,,2.4,,,ml,4438.0,11935.0,4438.0,11935.0,,16373.0,2.0,,2026-04-17 09:15:06.305486080,,,,,2024/10/13/query?eventid=11893546.xml
GCI,2024-09-07 17:30:06.838,59.1781,-152.2616,52800.0,2.5,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11882111,,2.5,,,ML,5995.0,10639.0,5995.0,10639.0,,16634.0,2.0,,2026-04-17 09:15:07.419486720,,,,,2024/09/07/query?eventid=11882111.xml
GCI,2024-08-17 02:38:46.475,59.761,-152.8841,98600.0,2.9,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11874876,,2.0,,,ML,5368.0,11378.0,5368.0,11378.0,,16746.0,2.0,,2026-04-17 09:15:08.529487360,,,,,2024/08/17/query?eventid=11874876.xml
GCI,2024-07-11 14:32:08.195,60.0862,-151.628,44500.0,2.3,,"KENAI PENINSULA, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11861630,,2.3,,,ml,7251.0,9374.0,7251.0,9374.0,,16625.0,2.0,,2026-04-17 09:46:08.365760768,,,,,2024/07/11/query?eventid=11861630.xml
GCI,2024-04-23 10:48:58.593,59.8683,-152.9142,97400.0,2.3,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11832004,,2.3,,,ml,5273.0,11968.0,5273.0,11968.0,,17241.0,2.0,,2026-04-17 09:46:08.938761216,,,,,2024/04/23/query?eventid=11832004.xml
GCI,2024-05-20 23:26:48.076,59.6318,-152.8755,79700.0,1.9,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11843776,,1.9,,,ml,7151.0,9791.0,7151.0,9791.0,,16942.0,2.0,,2026-04-17 09:46:15.774765824,,,,,2024/05/20/query?eventid=11843776.xml
GCI,2024-09-06 16:23:27.282,59.8273,-151.5518,69800.0,2.1,,"KENAI PENINSULA, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11881779,,2.1,,,ml,5941.0,11110.0,5941.0,11110.0,,17051.0,2.0,,2026-04-17 09:46:16.361766144,,,,,2024/09/06/query?eventid=11881779.xml
GCI,2024-06-08 06:22:44.230,59.7131,-153.5978,152300.0,3.1,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11850206,,2.4,,,ML,6308.0,11338.0,6308.0,11338.0,,17646.0,2.0,,2026-04-17 09:46:16.940766464,,,,,2024/06/08/query?eventid=11850206.xml
GCI,2024-08-03 18:39:41.009,59.8418,-152.1866,91100.0,2.3,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11870093,,2.3,,,ml,5068.0,12614.0,5068.0,12614.0,,17682.0,2.0,,2026-04-17 09:46:18.079767296,,,,,2024/08/03/query?eventid=11870093.xml
GCI,2024-06-13 17:50:36.435,60.1198,-148.4666,6100.0,3.3,,"KENAI PENINSULA, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11852454,,3.3,,,ML,6582.0,11284.0,6582.0,11284.0,,17866.0,2.0,,2026-04-17 09:46:18.686767616,,,,,2024/06/13/query?eventid=11852454.xml
GCI,2024-05-27 17:58:28.828,60.0193,-152.8064,122100.0,2.8,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11845903,,2.8,,,ml,4607.0,12920.0,4607.0,12920.0,,17527.0,2.0,,2026-04-17 09:46:21.110769152,,,,,2024/05/27/query?eventid=11845903.xml
GCI,2024-10-06 15:41:51.096,58.7393,-153.2794,54500.0,3.1,,"KODIAK ISLAND REGION, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11891518,,2.7,,,ML,6073.0,11391.0,6073.0,11391.0,,17464.0,2.0,,2026-04-17 09:46:21.686769664,,,,,2024/10/06/query?eventid=11891518.xml
GCI,2024-09-07 15:24:41.933,59.2199,-153.8334,127200.0,2.6,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11882078,,2.6,,,ml,4169.0,13022.0,4169.0,13022.0,,17191.0,2.0,,2026-04-17 09:46:22.274769920,,,,,2024/09/07/query?eventid=11882078.xml
GCI,2024-11-02 09:39:36.025,59.8363,-152.7963,92400.0,2.3,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11899528,,2.3,,,ml,5181.0,12494.0,5181.0,12494.0,,17675.0,2.0,,2026-04-17 09:46:22.864770304,,,,,2024/11/02/query?eventid=11899528.xml
GCI,2024-08-30 17:58:19.585,59.7474,-152.1548,70200.0,2.3,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11879387,,2.3,,,ml,5859.0,11745.0,5859.0,11745.0,,17604.0,2.0,,2026-04-17 09:46:24.618771456,,,,,2024/08/30/query?eventid=11879387.xml
GCI,2024-06-06 11:23:11.489,60.2661,-149.8968,28900.0,2.8,,"KENAI PENINSULA, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11849580,,2.7,,,ML,6892.0,11335.0,6892.0,11335.0,,18227.0,2.0,,2026-04-17 09:46:25.815772416,,,,,2024/06/06/query?eventid=11849580.xml
GCI,2024-06-17 03:12:14.394,59.8626,-152.3949,72000.0,2.1,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11853473,,2.1,,,ml,6923.0,11102.0,6923.0,11102.0,,18025.0,2.0,,2026-04-17 09:46:26.995773184,,,,,2024/06/17/query?eventid=11853473.xml
GCI,2024-04-30 17:46:03.041,59.6752,-152.9331,92600.0,1.9,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11834965,,1.9,,,ml,7413.0,10691.0,7413.0,10691.0,,18104.0,2.0,,2026-04-17 09:46:28.187773952,,,,,2024/04/30/query?eventid=11834965.xml
GCI,2024-08-16 09:28:37.838,59.6162,-152.6945,92700.0,2.1,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11874623,,2.1,,,ml,7309.0,10992.0,7309.0,10992.0,,18301.0,2.0,,2026-04-17 09:46:31.177775872,,,,,2024/08/16/query?eventid=11874623.xml
GCI,2024-09-01 08:01:46.119,59.8151,-151.3974,46800.0,2.1,,"KENAI PENINSULA, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11879828,,2.1,,,ml,7097.0,10950.0,7097.0,10950.0,,18047.0,2.0,,2026-04-17 09:46:31.763776256,,,,,2024/09/01/query?eventid=11879828.xml
GCI,2024-08-17 20:59:00.681,59.6339,-151.1945,38900.0,2.2,,"KENAI PENINSULA, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11875057,,2.2,,,ml,7795.0,10586.0,7795.0,10586.0,,18381.0,2.0,,2026-04-17 09:46:32.966777088,,,,,2024/08/17/query?eventid=11875057.xml
GCI,2024-05-15 21:08:22.151,59.6847,-153.4257,126300.0,3.2,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11841619,,2.7,,,ML,7160.0,11510.0,7160.0,11510.0,,18670.0,2.0,,2026-04-17 09:46:33.629777408,,,,,2024/05/15/query?eventid=11841619.xml
GCI,2024-07-23 14:20:19.372,59.229,-151.4306,3800.0,2.3,,"KENAI PENINSULA, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11865573,,2.3,,,ml,7664.0,11144.0,7664.0,11144.0,,18808.0,2.0,,2026-04-17 09:46:34.303778048,,,,,2024/07/23/query?eventid=11865573.xml
GCI,2024-06-21 12:15:46.875,60.9231,-151.7182,83200.0,2.6,,"KENAI PENINSULA, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11855096,,2.6,,,ml,6675.0,11445.0,6675.0,11445.0,,18120.0,2.0,,2026-04-17 09:46:35.557778944,,,,,2024/06/21/query?eventid=11855096.xml
GCI,2024-06-13 17:25:32.781,60.1258,-148.5139,5400.0,3.3,,"KENAI PENINSULA, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11852443,,3.3,,,ml,6270.0,12134.0,6270.0,12134.0,,18404.0,2.0,,2026-04-17 09:46:36.200779264,,,,,2024/06/13/query?eventid=11852443.xml
GCI,2024-08-13 03:23:49.727,60.1966,-153.4401,186700.0,2.6,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11873411,,2.6,,,ml,5730.0,12649.0,5730.0,12649.0,,18379.0,2.0,,2026-04-17 09:46:36.825779712,,,,,2024/08/13/query?eventid=11873411.xml
GCI,2024-04-27 02:29:14.893,60.2444,-152.5557,103300.0,2.1,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11833445,,2.1,,,ml,6385.0,11991.0,6385.0,11991.0,,18376.0,2.0,,2026-04-17 09:46:39.954781696,,,,,2024/04/27/query?eventid=11833445.xml
GCI,2024-06-15 19:36:43.253,59.9217,-153.0308,118500.0,2.2,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11853184,,2.2,,,ml,7510.0,10870.0,7510.0,10870.0,,18380.0,2.0,,2026-04-17 09:46:40.579781888,,,,,2024/06/15/query?eventid=11853184.xml
GCI,2024-05-17 20:07:25.165,59.6593,-153.2926,108500.0,2.4,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11842451,,2.4,,,ml,7006.0,11532.0,7006.0,11532.0,,18538.0,2.0,,2026-04-17 09:46:41.820782848,,,,,2024/05/17/query?eventid=11842451.xml
GCI,2024-06-26 04:17:11.669,59.7366,-152.705,76500.0,2.2,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11856305,,2.2,,,ml,6849.0,12067.0,6849.0,12067.0,,18916.0,2.0,,2026-04-17 09:46:45.041785088,,,,,2024/06/26/query?eventid=11856305.xml
GCI,2023-06-10 04:43:30.917,59.7241,-152.662,81400.0,2.4,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,,2.4,,,ml,7793.0,11513.0,7793.0,11513.0,,19306.0,2.0,,2026-04-17 09:46:46.334786048,,,,,2023/06/10/query?eventid=11707158.xml
GCI,2024-07-22 13:45:19.680,59.8689,-152.7846,96300.0,3.0,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11864966,,3.0,,,ML,6449.0,12531.0,6449.0,12531.0,,18980.0,2.0,,2026-04-17 09:46:46.998786560,,,,,2024/07/22/query?eventid=11864966.xml
GCI,2024-11-08 15:04:03.278,59.2518,-152.834,70900.0,2.5,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11901099,,2.5,,,ml,6031.0,12406.0,6031.0,12406.0,,18437.0,2.0,,2026-04-17 09:46:50.227788544,,,,,2024/11/08/query?eventid=11901099.xml
GCI,2024-09-07 05:06:13.118,59.9088,-153.1109,116600.0,3.1,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11881948,,2.1,,,ML,7094.0,12165.0,7094.0,12165.0,,19259.0,2.0,,2026-04-17 09:46:54.646791424,,,,,2024/09/07/query?eventid=11881948.xml
GCI,2024-11-08 20:35:50.063,60.0272,-153.2268,121700.0,2.9,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11901171,,2.9,,,ml,5950.0,13464.0,5950.0,13464.0,,19414.0,2.0,,2026-04-17 09:46:55.931792384,,,,,2024/11/08/query?eventid=11901171.xml
GCI,2024-04-28 14:53:31.699,59.9142,-152.6565,80300.0,2.5,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11833993,,2.0,,,ML,7140.0,11987.0,7140.0,11987.0,,19127.0,2.0,,2026-04-17 09:46:56.568792576,,,,,2024/04/28/query?eventid=11833993.xml
GCI,2024-07-09 14:30:24.434,61.0345,-152.2043,116500.0,2.8,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11860889,,2.8,,,ml,7729.0,12046.0,7729.0,12046.0,,19775.0,2.0,,2026-04-17 09:46:57.857793536,,,,,2024/07/09/query?eventid=11860889.xml
