sta_id,network,station,latitude,longitude,elevation,starttime,endtime,site_name
TX.MB10,TX,MB10,32.2651,-101.792,813.0,2021-03-31 21:06:10.000,,Stanton
TX.CRHG,TX,CRHG,32.28884,-94.22517,95.0,2021-06-15 17:00:01.000,,Carthage
TX.INDO,TX,INDO,28.467247,-100.298344,721.0,2021-05-20 13:00:00.000,2025-12-31 16:38:41,"El Indio, TX"
TX.PB34,TX,PB34,31.676667,-104.037778,969.3,2021-07-06 00:00:00.000,,Salt Mine 2
TX.ELG6,TX,ELG6,28.4816558,-100.3263558,229.0,2021-06-30 13:00:00.000,,"SSW of El Indio, TX"
TX.PB03,TX,PB03,31.08384,-103.51395,871.0,2017-11-13 00:00:00.000,2021-07-28 03:29:59,Verhalen
TX.PB22,TX,PB22,31.21173,-103.077,808.0,2020-09-03 15:00:00.000,2021-07-27 22:59:59,South of Coyonosa
TX.FW03,TX,FW03,33.039624,-98.065202,321.0,2016-10-18 00:00:00.000,2021-06-16 20:46:00,Perrin-Whitt Elementary School
TX.MB11,TX,MB11,32.146839,-101.972645,812.0,2021-10-05 01:00:00.000,,Midland Basin
TX.MB06,TX,MB06,31.9779827,-101.7999756,801.0,2022-03-26 19:36:26.000,,"Greenwood, TX"
TX.PB31,TX,PB31,31.73226,-104.030536,907.0,2022-05-19 15:00:01.000,,Salt Creek
TX.FW02,TX,FW02,32.95019,-97.34255,226.5,2022-06-08 21:40:01.000,,City of Haslet
TX.FW04,TX,FW04,32.84763,-96.92325,144.8,2022-06-07 20:16:01.000,,University of Dallas
TX.FW07,TX,FW07,32.702466,-97.786092,310.9,2022-06-09 15:02:01.000,,Weatherford
TX.FW09,TX,FW09,32.92282,-96.913922,133.3,2022-06-08 15:09:01.000,,Farmers Branch
TX.FW05,TX,FW05,32.988669,-96.747081,207.3,2022-06-08 14:14:01.000,,UT at Dallas
TX.FW01,TX,FW01,32.684047,-96.87833,203.4,2022-06-07 16:44:01.000,2030-02-20 23:57:47,Dallas Executive Airport
TX.FW13,TX,FW13,32.35172,-97.43112,259.0,2022-07-06 14:35:46.000,,Cleburne
TX.FW14,TX,FW14,32.3991,-97.1923,219.0,2022-07-07 18:45:47.000,,Avarado
TX.FW15,TX,FW15,32.7044,-97.3695,192.0,2022-07-08 13:50:32.000,,TCU
TX.FW11,TX,FW11,32.72273,-97.12787,197.5,2022-07-08 21:16:11.000,,UT at Arlington
TX.PB35,TX,PB35,31.656187,-104.43203,1224.0,2022-07-27 00:00:00.000,,UTL Block 46
TX.MB12,TX,MB12,32.368611,-101.602778,775.6,2022-07-13 18:26:37.000,,"Knott, TX"
TX.PB37,TX,PB37,31.71847,-104.528416,1263.0,2022-07-29 00:00:00.000,,UTL Block  46
TX.PB38,TX,PB38,31.72972,-104.426634,1240.0,2022-07-29 00:00:00.000,,UTL Block 46
TX.PB40,TX,PB40,31.6419935,-103.9339588,935.0,2022-08-21 00:00:00.000,,KInetik
TX.MB13,TX,MB13,32.321431,-101.633469,774.0,2022-09-29 13:00:00.000,,SM Energy Delphin SWD
TX.PB43,TX,PB43,31.680019,-103.864872,896.0,2022-09-23 00:00:00.000,,APC/Westernmidstream
TX.FW06,TX,FW06,32.972559,-97.55693,233.0,2022-07-09 23:01:00.000,,Azle
TX.FW12,TX,FW12,32.499076,-97.148597,203.9,2022-10-05 15:00:31.000,,Venus
TX.PB30,TX,PB30,31.2804,-103.3227,829.0,2022-10-12 18:00:01.000,,Pecos City Water South
TX.PB20,TX,PB20,31.6281,-104.06179,1022.0,2022-07-10 16:30:00.000,,Ringtail SWD
TX.PB23,TX,PB23,31.66404,-104.07276,1005.0,2022-07-10 22:30:00.000,,Bighorn SWD
TX.PB24,TX,PB24,31.61979,-104.01776,997.0,2022-07-11 16:00:00.000,,Broken Spoke SWD
TX.PB25,TX,PB25,31.58308,-104.07019,1037.0,2022-07-11 19:00:00.000,,Penner SWD
TX.PB26,TX,PB26,31.57819,-104.12579,1065.0,2022-07-10 19:00:00.000,,Mule Deer SWD
TX.PB36,TX,PB36,31.680262,-104.425899,1218.0,2022-07-27 00:00:00.000,,UTL Block 46
TX.MB05,TX,MB05,32.6265397,-101.8597158,882.0,2022-11-17 15:00:00.000,,Klondike
TX.PB07,TX,PB07,31.57935,-103.66793,856.0,2022-12-12 20:00:01.000,,Mentone
TX.PB32,TX,PB32,31.10306,-103.37278,861.0,2022-12-13 17:30:00.000,,CR 111
TX.MB01,TX,MB01,31.6677338,-102.0829098,859.0,2023-01-10 18:02:09.000,,Midkiff
TX.ET01,TX,ET01,31.46512,-94.36497,97.0,2023-01-25 22:04:00.000,,Chireno
TX.SN07,TX,SN07,33.09092,-100.89172,620.0,2023-02-09 18:00:00.000,,Snyder 7
TX.MB17,TX,MB17,32.031106,-102.04114,852.0,2023-02-16 20:55:25.000,,NE of Midland
TX.MB18,TX,MB18,32.082143,-102.171812,871.0,2023-02-16 20:55:25.000,,NW of Midland
TX.PB44,TX,PB44,31.92377,-103.986965,894.0,2023-03-08 12:55:25.000,,W of Red Bluff Resovoir
TX.MB03,TX,MB03,31.741898,-100.615009,734.0,2023-04-19 12:00:00.000,2033-04-20 22:35:03,TX-MB03
TX.MB19,TX,MB19,32.396522,-101.71205,786.0,2023-05-03 14:00:00.000,,Endeavor Energy Resources
TX.PB51,TX,PB51,31.940163,-103.381836,978.0,2023-05-18 02:00:00.000,,"Mentone, TX"
TX.PB17,TX,PB17,30.99675,-103.15182,734.0,2023-06-15 04:30:00.000,,Fort Stockton
TX.MB22,TX,MB22,32.518495,-101.721534,857.0,2022-07-11 17:00:00.000,,Rockfish
TX.MB02,TX,MB02,31.19806,-102.037907,767.7,2023-07-25 17:13:40.000,,Rankin
TX.SAND,TX,SAND,29.95471,-102.12331,688.8,2023-07-26 15:28:26.000,,Sanderson
TX.HBVL,TX,HBVL,27.064992,-98.669634,155.0,2023-08-02 14:46:00.000,,Hebbronville
TX.MB08,TX,MB08,31.884448,-102.328853,863.0,2023-08-08 23:53:36.000,,UTPB
TX.MB23,TX,MB23,32.386609,-101.800869,791.0,2023-08-09 14:22:46.000,,Endeavor Energy Resources
TX.ODSA,TX,ODSA,32.12009,-102.54913,943.0,2023-08-31 03:00:00.000,,Odessa
TX.PECS,TX,PECS,31.37045,-103.86697,914.0,2023-08-31 03:00:00.000,,Pecos
TX.833A,TX,833A,28.3236,-99.3939,171.0,2023-09-06 21:41:37.000,,Chaparral WMA
TX.MB25,TX,MB25,32.02737,-102.4867,921.0,2023-11-01 20:26:44.000,,Gardendale
TX.PB39,TX,PB39,31.721691,-104.060349,950.0,2023-11-04 19:57:53.000,,Salt Mine 1
TX.PB46,TX,PB46,31.706947,-103.475133,878.0,2023-11-08 15:53:56.000,,UL B19S6
TX.PB47,TX,PB47,31.741433,-103.3351,861.0,2023-11-08 15:53:56.000,,UL B20S4
TX.MB16,TX,MB16,32.337047,-102.236844,904.0,2023-11-29 19:26:20.000,,"Midland, TX"
TX.DG10,TX,DG10,31.392949,-103.488839,790.0,2023-11-30 19:37:39.000,,CR 118
TX.PB52,TX,PB52,31.778746,-103.283161,861.0,2024-02-22 12:00:00.000,,TARGA Bullmoose
TX.PB53,TX,PB53,31.79929,-103.23596,867.0,2024-02-22 12:00:00.000,,TARGA Wildcat
