/groups/igonin/ecastillo/anaconda3/envs/utdq/lib/python3.11/site-packages/obspy/core/util/base.py:26: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
UTDQBank(base_path=/groups/igonin/ecastillo/UTDQuake/bank/GCI, index_path=/groups/igonin/ecastillo/UTDQuake/bank/GCI/.index.db)
2026-04-23 12:29:45,885 [INFO:utdquake.bank] Chunk 158/450 saved: 1 events
2026-04-23 12:29:54,883 [INFO:utdquake.bank] Chunk 159/450 saved: 1 events
2026-04-23 12:30:02,650 [INFO:utdquake.bank] Chunk 160/450 saved: 1 events
2026-04-23 12:30:19,410 [INFO:utdquake.bank] Chunk 161/450 saved: 1 events
2026-04-23 12:30:36,341 [INFO:utdquake.bank] Chunk 162/450 saved: 1 events
2026-04-23 12:30:49,289 [INFO:utdquake.bank] Chunk 163/450 saved: 1 events
2026-04-23 12:30:56,696 [INFO:utdquake.bank] Chunk 164/450 saved: 1 events
2026-04-23 12:31:09,670 [INFO:utdquake.bank] Chunk 165/450 saved: 1 events
2026-04-23 12:31:21,391 [INFO:utdquake.bank] Chunk 166/450 saved: 1 events
2026-04-23 12:31:28,046 [INFO:utdquake.bank] Chunk 167/450 saved: 1 events
2026-04-23 12:31:33,295 [INFO:utdquake.bank] Chunk 168/450 saved: 1 events
2026-04-23 12:31:46,323 [INFO:utdquake.bank] Chunk 169/450 saved: 1 events
2026-04-23 12:32:02,797 [INFO:utdquake.bank] Chunk 170/450 saved: 1 events
2026-04-23 12:32:18,198 [INFO:utdquake.bank] Chunk 171/450 saved: 1 events
2026-04-23 12:32:34,349 [INFO:utdquake.bank] Chunk 172/450 saved: 1 events
2026-04-23 12:32:50,536 [INFO:utdquake.bank] Chunk 173/450 saved: 1 events
2026-04-23 12:33:05,111 [INFO:utdquake.bank] Chunk 174/450 saved: 1 events
2026-04-23 12:33:21,960 [INFO:utdquake.bank] Chunk 175/450 saved: 1 events
2026-04-23 12:33:29,512 [INFO:utdquake.bank] Chunk 176/450 saved: 1 events
2026-04-23 12:33:42,808 [INFO:utdquake.bank] Chunk 177/450 saved: 1 events
2026-04-23 12:34:01,112 [INFO:utdquake.bank] Chunk 178/450 saved: 1 events
2026-04-23 12:34:08,184 [INFO:utdquake.bank] Chunk 179/450 saved: 1 events
2026-04-23 12:34:22,529 [INFO:utdquake.bank] Chunk 180/450 saved: 1 events
2026-04-23 12:34:32,778 [INFO:utdquake.bank] Chunk 181/450 saved: 1 events
2026-04-23 12:34:42,145 [INFO:utdquake.bank] Chunk 182/450 saved: 1 events
2026-04-23 12:34:49,187 [INFO:utdquake.bank] Chunk 183/450 saved: 1 events
2026-04-23 12:35:01,698 [INFO:utdquake.bank] Chunk 184/450 saved: 1 events
2026-04-23 12:35:17,898 [INFO:utdquake.bank] Chunk 185/450 saved: 1 events
2026-04-23 12:35:34,294 [INFO:utdquake.bank] Chunk 186/450 saved: 1 events
2026-04-23 12:35:47,747 [INFO:utdquake.bank] Chunk 187/450 saved: 1 events
2026-04-23 12:35:58,198 [INFO:utdquake.bank] Chunk 188/450 saved: 1 events
2026-04-23 12:36:09,727 [INFO:utdquake.bank] Chunk 189/450 saved: 1 events
2026-04-23 12:36:19,331 [INFO:utdquake.bank] Chunk 190/450 saved: 1 events
2026-04-23 12:36:35,433 [INFO:utdquake.bank] Chunk 191/450 saved: 1 events
2026-04-23 12:36:41,577 [INFO:utdquake.bank] Chunk 192/450 saved: 1 events
2026-04-23 12:36:45,841 [INFO:utdquake.bank] Chunk 193/450 saved: 1 events
2026-04-23 12:37:00,881 [INFO:utdquake.bank] Chunk 194/450 saved: 1 events
2026-04-23 12:37:18,894 [INFO:utdquake.bank] Chunk 195/450 saved: 1 events
2026-04-23 12:37:25,596 [INFO:utdquake.bank] Chunk 196/450 saved: 1 events
2026-04-23 12:37:38,124 [INFO:utdquake.bank] Chunk 197/450 saved: 1 events
2026-04-23 12:37:44,312 [INFO:utdquake.bank] Chunk 198/450 saved: 1 events
2026-04-23 12:38:01,721 [INFO:utdquake.bank] Chunk 199/450 saved: 1 events
2026-04-23 12:38:10,171 [INFO:utdquake.bank] Chunk 200/450 saved: 1 events
2026-04-23 12:38:21,192 [INFO:utdquake.bank] Chunk 201/450 saved: 1 events
2026-04-23 12:38:31,362 [INFO:utdquake.bank] Chunk 202/450 saved: 1 events
2026-04-23 12:38:36,776 [INFO:utdquake.bank] Chunk 203/450 saved: 1 events
2026-04-23 12:38:44,703 [INFO:utdquake.bank] Chunk 204/450 saved: 1 events
2026-04-23 12:38:56,978 [INFO:utdquake.bank] Chunk 205/450 saved: 1 events
2026-04-23 12:39:09,162 [INFO:utdquake.bank] Chunk 206/450 saved: 1 events
2026-04-23 12:39:17,811 [INFO:utdquake.bank] Chunk 207/450 saved: 1 events
2026-04-23 12:39:27,681 [INFO:utdquake.bank] Chunk 208/450 saved: 1 events
2026-04-23 12:39:34,564 [INFO:utdquake.bank] Chunk 209/450 saved: 1 events
2026-04-23 12:39:51,168 [INFO:utdquake.bank] Chunk 210/450 saved: 1 events
2026-04-23 12:39:58,268 [INFO:utdquake.bank] Chunk 211/450 saved: 1 events
2026-04-23 12:40:10,122 [INFO:utdquake.bank] Chunk 212/450 saved: 1 events
2026-04-23 12:40:15,595 [INFO:utdquake.bank] Chunk 213/450 saved: 1 events
2026-04-23 12:40:27,160 [INFO:utdquake.bank] Chunk 214/450 saved: 1 events
2026-04-23 12:40:42,572 [INFO:utdquake.bank] Chunk 215/450 saved: 1 events
2026-04-23 12:40:52,618 [INFO:utdquake.bank] Chunk 216/450 saved: 1 events
2026-04-23 12:41:04,085 [INFO:utdquake.bank] Chunk 217/450 saved: 1 events
2026-04-23 12:41:13,797 [INFO:utdquake.bank] Chunk 218/450 saved: 1 events
2026-04-23 12:41:31,512 [INFO:utdquake.bank] Chunk 219/450 saved: 1 events
2026-04-23 12:41:40,658 [INFO:utdquake.bank] Chunk 220/450 saved: 1 events
2026-04-23 12:41:51,782 [INFO:utdquake.bank] Chunk 221/450 saved: 1 events
2026-04-23 12:42:01,160 [INFO:utdquake.bank] Chunk 222/450 saved: 1 events
2026-04-23 12:42:14,363 [INFO:utdquake.bank] Chunk 223/450 saved: 1 events
2026-04-23 12:42:20,499 [INFO:utdquake.bank] Chunk 224/450 saved: 1 events
2026-04-23 12:42:38,812 [INFO:utdquake.bank] Chunk 225/450 saved: 1 events
2026-04-23 12:42:52,708 [INFO:utdquake.bank] Chunk 226/450 saved: 1 events
2026-04-23 12:43:01,465 [INFO:utdquake.bank] Chunk 227/450 saved: 1 events
2026-04-23 12:43:13,559 [INFO:utdquake.bank] Chunk 228/450 saved: 1 events
2026-04-23 12:43:29,773 [INFO:utdquake.bank] Chunk 229/450 saved: 1 events
2026-04-23 12:43:42,722 [INFO:utdquake.bank] Chunk 230/450 saved: 1 events
2026-04-23 12:43:50,233 [INFO:utdquake.bank] Chunk 231/450 saved: 1 events
2026-04-23 12:43:57,387 [INFO:utdquake.bank] Chunk 232/450 saved: 1 events
2026-04-23 12:44:06,222 [INFO:utdquake.bank] Chunk 233/450 saved: 1 events
2026-04-23 12:44:18,962 [INFO:utdquake.bank] Chunk 234/450 saved: 1 events
2026-04-23 12:44:33,767 [INFO:utdquake.bank] Chunk 235/450 saved: 1 events
2026-04-23 12:44:50,088 [INFO:utdquake.bank] Chunk 236/450 saved: 1 events
2026-04-23 12:45:03,142 [INFO:utdquake.bank] Chunk 237/450 saved: 1 events
2026-04-23 12:45:15,857 [INFO:utdquake.bank] Chunk 238/450 saved: 1 events
2026-04-23 12:45:33,644 [INFO:utdquake.bank] Chunk 239/450 saved: 1 events
2026-04-23 12:45:41,450 [INFO:utdquake.bank] Chunk 240/450 saved: 1 events
2026-04-23 12:45:47,963 [INFO:utdquake.bank] Chunk 241/450 saved: 1 events
2026-04-23 12:45:53,128 [INFO:utdquake.bank] Chunk 242/450 saved: 1 events
2026-04-23 12:46:02,083 [INFO:utdquake.bank] Chunk 243/450 saved: 1 events
2026-04-23 12:46:09,678 [INFO:utdquake.bank] Chunk 244/450 saved: 1 events
2026-04-23 12:46:21,981 [INFO:utdquake.bank] Chunk 245/450 saved: 1 events
2026-04-23 12:46:27,424 [INFO:utdquake.bank] Chunk 246/450 saved: 1 events
2026-04-23 12:46:43,484 [INFO:utdquake.bank] Chunk 247/450 saved: 1 events
2026-04-23 12:46:54,509 [INFO:utdquake.bank] Chunk 248/450 saved: 1 events
2026-04-23 12:47:08,624 [INFO:utdquake.bank] Chunk 249/450 saved: 1 events
2026-04-23 12:47:24,317 [INFO:utdquake.bank] Chunk 250/450 saved: 1 events
2026-04-23 12:47:33,025 [INFO:utdquake.bank] Chunk 251/450 saved: 1 events
2026-04-23 12:47:37,832 [INFO:utdquake.bank] Chunk 252/450 saved: 1 events
2026-04-23 12:47:50,695 [INFO:utdquake.bank] Chunk 253/450 saved: 1 events
2026-04-23 12:48:07,443 [INFO:utdquake.bank] Chunk 254/450 saved: 1 events
2026-04-23 12:48:23,343 [INFO:utdquake.bank] Chunk 255/450 saved: 1 events
2026-04-23 12:48:31,397 [INFO:utdquake.bank] Chunk 256/450 saved: 1 events
2026-04-23 12:48:37,296 [INFO:utdquake.bank] Chunk 257/450 saved: 1 events
2026-04-23 12:48:44,616 [INFO:utdquake.bank] Chunk 258/450 saved: 1 events
2026-04-23 12:48:51,767 [INFO:utdquake.bank] Chunk 259/450 saved: 1 events
2026-04-23 12:49:05,709 [INFO:utdquake.bank] Chunk 260/450 saved: 1 events
2026-04-23 12:49:23,065 [INFO:utdquake.bank] Chunk 261/450 saved: 1 events
2026-04-23 12:49:33,783 [INFO:utdquake.bank] Chunk 262/450 saved: 1 events
2026-04-23 12:49:37,458 [INFO:utdquake.bank] Chunk 263/450 saved: 1 events
2026-04-23 12:49:47,061 [INFO:utdquake.bank] Chunk 264/450 saved: 1 events
2026-04-23 12:50:01,609 [INFO:utdquake.bank] Chunk 265/450 saved: 1 events
2026-04-23 12:50:15,502 [INFO:utdquake.bank] Chunk 266/450 saved: 1 events
2026-04-23 12:50:22,099 [INFO:utdquake.bank] Chunk 267/450 saved: 1 events
2026-04-23 12:50:31,437 [INFO:utdquake.bank] Chunk 268/450 saved: 1 events
2026-04-23 12:50:41,018 [INFO:utdquake.bank] Chunk 269/450 saved: 1 events
2026-04-23 12:50:52,561 [INFO:utdquake.bank] Chunk 270/450 saved: 1 events
2026-04-23 12:50:59,748 [INFO:utdquake.bank] Chunk 271/450 saved: 1 events
2026-04-23 12:51:04,573 [INFO:utdquake.bank] Chunk 272/450 saved: 1 events
2026-04-23 12:51:09,913 [INFO:utdquake.bank] Chunk 273/450 saved: 1 events
2026-04-23 12:51:22,256 [INFO:utdquake.bank] Chunk 274/450 saved: 1 events
2026-04-23 12:51:32,190 [INFO:utdquake.bank] Chunk 275/450 saved: 1 events
2026-04-23 12:51:37,263 [INFO:utdquake.bank] Chunk 276/450 saved: 1 events
2026-04-23 12:51:49,309 [INFO:utdquake.bank] Chunk 277/450 saved: 1 events
2026-04-23 12:51:59,132 [INFO:utdquake.bank] Chunk 278/450 saved: 1 events
2026-04-23 12:52:11,812 [INFO:utdquake.bank] Chunk 279/450 saved: 1 events
2026-04-23 12:52:23,730 [INFO:utdquake.bank] Chunk 280/450 saved: 1 events
2026-04-23 12:52:33,181 [INFO:utdquake.bank] Chunk 281/450 saved: 1 events
2026-04-23 12:52:47,245 [INFO:utdquake.bank] Chunk 282/450 saved: 1 events
2026-04-23 12:53:00,478 [INFO:utdquake.bank] Chunk 283/450 saved: 1 events
2026-04-23 12:53:17,360 [INFO:utdquake.bank] Chunk 284/450 saved: 1 events
2026-04-23 12:53:29,354 [INFO:utdquake.bank] Chunk 285/450 saved: 1 events
2026-04-23 12:53:35,916 [INFO:utdquake.bank] Chunk 286/450 saved: 1 events
2026-04-23 12:53:44,163 [INFO:utdquake.bank] Chunk 287/450 saved: 1 events
2026-04-23 12:53:52,098 [INFO:utdquake.bank] Chunk 288/450 saved: 1 events
2026-04-23 12:54:02,324 [INFO:utdquake.bank] Chunk 289/450 saved: 1 events
2026-04-23 12:54:14,672 [INFO:utdquake.bank] Chunk 290/450 saved: 1 events
2026-04-23 12:54:22,000 [INFO:utdquake.bank] Chunk 291/450 saved: 1 events
2026-04-23 12:54:26,723 [INFO:utdquake.bank] Chunk 292/450 saved: 1 events
2026-04-23 12:54:42,367 [INFO:utdquake.bank] Chunk 293/450 saved: 1 events
2026-04-23 12:54:45,557 [INFO:utdquake.bank] Chunk 294/450 saved: 1 events
