resource_id,time,seed_id,filter_id,method_id,horizontal_slowness,backazimuth,onset,phase_hint,polarity,evaluation_mode,event_time,evaluation_status,creation_time,author,agency_id,event_id,network,station,location,channel,uncertainty,lower_uncertainty,upper_uncertainty,confidence_level
smi:local/8c3baf78-847c-4a83-aa62-ec38adb984c7,2023-06-10 04:43:57.052800,GCI.KKFLS..134,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,134,,,,
smi:local/0c54277d-83e6-4d33-9469-c95861dfd3bb,2023-06-10 04:43:57.452800,GCI.KKFLS..135,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,135,,,,
smi:local/c613bf8f-0790-4ae1-99a8-bf0b87e42850,2023-06-10 04:43:57.612800,GCI.KKFLS..138,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,138,,,,
smi:local/0fede9c3-1821-414e-b68b-d6fb36c4ef19,2023-06-10 04:43:57.632800,GCI.KKFLS..139,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,139,,,,
smi:local/7cd270fd-56a1-414a-a057-7085144abf2f,2023-06-10 04:43:56.652800,GCI.KKFLS..140,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,140,,,,
smi:local/ea2ec012-2d72-4c91-a8f6-7d8bca569560,2023-06-10 04:43:56.512800,GCI.KKFLS..141,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,141,,,,
smi:local/6d28be18-5d82-4480-842e-0e3f719b7b5b,2023-06-10 04:43:56.412800,GCI.KKFLS..142,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,142,,,,
smi:local/c3b2dea3-9d41-49fb-8f1f-2a1e7e475778,2023-06-10 04:43:56.432800,GCI.KKFLS..143,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,143,,,,
smi:local/e32d8023-fbc4-40d0-bfc5-9744825a880a,2023-06-10 04:43:56.472800,GCI.KKFLS..144,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,144,,,,
smi:local/789fb233-6eb3-4eb2-b5a3-9e0f7bd60345,2023-06-10 04:43:56.272800,GCI.KKFLS..145,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,145,,,,
smi:local/5f80b2a5-5e1e-4990-a130-79d6e44cfb3d,2023-06-10 04:43:56.212800,GCI.KKFLS..146,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,146,,,,
smi:local/9a1bb380-d62c-4d55-8f38-6f8805061a31,2023-06-10 04:43:55.752800,GCI.KKFLS..147,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,147,,,,
smi:local/4dc0fd87-d6bc-4efd-b124-f4a300b2e31d,2023-06-10 04:43:56.612800,GCI.KKFLS..148,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,148,,,,
smi:local/91e72823-f961-4c1d-933c-7f08fe041e21,2023-06-10 04:43:56.492800,GCI.KKFLS..149,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,149,,,,
